Nontarget,Fb2_1132,Fb2_1211,Fb2_1221,Fb2_1312,Fb2_1322,Fb2_1332
Fb2_1111,0.90,0.90,0.87,0.87,0.84,0.85
Fb2_1112,0.97,0.89,0.86,0.94,0.90,0.91
Fb2_1113,0.93,0.91,0.87,0.90,0.87,0.87
Fb2_1121,0.92,0.90,0.94,0.86,0.90,0.86
Fb2_1122,0.96,0.86,0.90,0.90,0.94,0.90
Fb2_1123,0.92,0.87,0.91,0.87,0.90,0.87
Fb2_1131,0.96,0.91,0.90,0.87,0.87,0.90
Fb2_1132,NA,0.87,0.86,0.91,0.90,0.94
Fb2_1133,0.96,0.88,0.88,0.87,0.87,0.90
Fb2_1211,0.87,NA,0.96,0.90,0.86,0.87
Fb2_1212,0.91,0.96,0.92,0.94,0.90,0.91
Fb2_1213,0.87,0.97,0.94,0.90,0.87,0.87
Fb2_1221,0.86,0.96,NA,0.86,0.90,0.86
Fb2_1222,0.90,0.92,0.96,0.90,0.94,0.90
Fb2_1223,0.86,0.94,0.97,0.87,0.90,0.87
Fb2_1231,0.90,0.97,0.96,0.87,0.86,0.90
Fb2_1232,0.93,0.93,0.92,0.91,0.90,0.94
Fb2_1233,0.90,0.94,0.94,0.87,0.87,0.90
Fb2_1311,0.87,0.94,0.90,0.96,0.92,0.93
Fb2_1312,0.91,0.90,0.86,NA,0.96,0.97
Fb2_1313,0.87,0.91,0.88,0.96,0.92,0.93
Fb2_1321,0.87,0.90,0.94,0.92,0.96,0.92
Fb2_1322,0.90,0.86,0.90,0.96,NA,0.96
Fb2_1323,0.87,0.88,0.92,0.92,0.96,0.92
Fb2_1331,0.90,0.91,0.90,0.93,0.92,0.96
Fb2_1332,0.94,0.87,0.86,0.97,0.96,NA
Fb2_1333,0.90,0.89,0.88,0.93,0.92,0.96
Fb2_2111,0.83,0.89,0.87,0.86,0.83,0.84
Fb2_2112,0.88,0.86,0.83,0.90,0.88,0.88
Fb2_2113,0.84,0.87,0.84,0.87,0.84,0.84
Fb2_2121,0.83,0.87,0.90,0.84,0.87,0.84
Fb2_2122,0.87,0.83,0.86,0.87,0.91,0.87
Fb2_2123,0.84,0.84,0.88,0.84,0.88,0.84
Fb2_2131,0.86,0.87,0.87,0.84,0.84,0.87
Fb2_2132,0.90,0.83,0.83,0.88,0.88,0.91
Fb2_2133,0.87,0.85,0.84,0.84,0.84,0.87
Fb2_2211,0.85,0.94,0.91,0.89,0.86,0.86
Fb2_2212,0.89,0.90,0.87,0.92,0.90,0.90
Fb2_2213,0.86,0.92,0.89,0.89,0.86,0.86
Fb2_2221,0.85,0.91,0.95,0.86,0.89,0.86
Fb2_2222,0.86,0.84,0.87,0.87,0.90,0.87
Fb2_2223,0.85,0.89,0.92,0.86,0.90,0.86
Fb2_2231,0.88,0.92,0.91,0.86,0.86,0.89
Fb2_2232,0.92,0.88,0.87,0.90,0.90,0.93
Fb2_2233,0.88,0.89,0.89,0.86,0.86,0.89
Fb2_2311,0.84,0.91,0.88,0.88,0.85,0.85
Fb2_2312,0.88,0.87,0.84,0.92,0.89,0.89
Fb2_2313,0.84,0.89,0.86,0.88,0.85,0.85
Fb2_2321,0.84,0.88,0.92,0.85,0.88,0.85
Fb2_2322,0.88,0.84,0.88,0.89,0.92,0.89
Fb2_2323,0.84,0.86,0.89,0.85,0.89,0.85
Fb2_2331,0.87,0.89,0.88,0.85,0.85,0.88
Fb2_2332,0.91,0.85,0.84,0.89,0.89,0.92
Fb2_2333,0.87,0.86,0.86,0.86,0.85,0.88
Fb2_3111,0.79,0.86,0.83,0.82,0.79,0.79
Fb2_3112,0.85,0.84,0.81,0.89,0.86,0.86
